title,icon,maxParticipants,roleRequirement,existenceDuration,spawnMin,spawnMax,workDuration,successOutcome,failureOutcome
深夜漏水,💧,2,爸爸 必须参加,15,10,30,8,"压力-15,爸情绪+10,【融洽】+5","【全家】压力+25,【融洽】-10"
突击检查手机,📱,1,哥哥 或 妹妹,10,40,60,5,"【全家】融洽+10,【儿女】压力-10","【全家】融洽-15,【父母】压力+15,【儿女】情绪-20"
班主任午间电联,📞,1,妈妈 或 爸爸,12,20,50,6,"【全家】希望+15,【父母】压力-5","【全家】压力+20,【融洽】-5,【儿女】情绪-10"
抢夺遥控器,📺,2,哥哥 且 妹妹,8,15,45,4,"【全家】融洽+20,【兄妹】情绪+15","【全家】压力+10,【融洽】-15,【兄妹】情绪-10"
烧焦的红烧肉,🍳,1,妈妈 必须参加,10,65,90,5,"【全家】融洽+5,【妈妈】情绪+10","【全家】压力+10,【全家】情绪-5"
家庭群伪科学推文,💬,2,无限制（任意2人）,20,70,110,10,"【全家】希望+10,【全家】融洽+10","【全家】融洽-10,【触发者】情绪-10"
私房钱危机,💵,2,爸爸 且 (哥或妹),14,50,85,7,"【全家】融洽+15,【爸爸】情绪+20,【协助者】情绪+10","【全家】压力+20,【妈妈】情绪+15,【爸爸】情绪-25"
深夜辅导功课,📝,2,妈妈 且 妹妹,15,80,105,12,"【全家】希望+20,【全家】压力-10","【全家】压力+30,【母女】情绪-15"
争夺最后一块炸鸡,🍗,2,哥哥 且 妹妹,8,5,25,3,"【全家】融洽+10,【兄妹】情绪+5","【全家】融洽-10,【兄妹】情绪-15"
剩菜保嫌盒拼图,🍱,1,任意1人,12,35,65,6,"【全家】融洽+5,【希望】+5","【全家】压力+10,【融洽】-5"
马桶严重堵塞,🚽,1,爸爸 或 哥哥,15,15,40,9,"【全家】压力-15,【融洽】+5","【全家】压力+25,【全家】情绪-10"
突降暴雨收衣服,👕,2,任意2人,10,45,75,5,"【全家】融洽+10,压力-5","【全家】压力+15,情绪-5"
纸巾碎满洗衣机,🧺,2,妈妈 且 (哥或妹),18,55,85,11,"【全家】压力-10,【融洽】+10","【全家】压力+25,【儿女】情绪-15"
冰箱结霜清理,❄️,1,爸爸 或 妈妈,20,60,100,15,"【全家】希望+10,【全家】压力-5",【全家】压力+15
长辈视频电话,👵,4,全家 必须全部参加,25,30,70,14,"【全家】希望+25,【全家】融洽+20","【全家】希望-15,【全家】融洽-15"
突击全屋大扫除,🧹,4,全家 必须全部参加,30,20,60,20,"【全家】融洽+25,【全家】压力-15","【全家】压力+35,【全家】融洽-20"
忘记结婚纪念日,💔,1,爸爸 必须参加,12,10,40,7,"【全家】融洽+20,【父母】情绪+15","【全家】压力+30,【全家】融洽-25"
新发型无人夸,💇,2,爸爸 且 (哥或妹),15,40,80,6,"【全家】融洽+15,【妈妈】情绪+20","【全家】压力+15,【妈妈】情绪-25"
买菜算错账,🪙,1,妈妈 或 爸爸,10,15,45,5,"【全家】希望+5,【操作者】情绪+5","【全家】压力+10,【操作者】情绪-10"
股票大跌/开盘绿,📉,1,爸爸 必须参加,14,25,55,8,"【全家】压力-10,【爸爸】情绪+10","【全家】希望-20,【爸爸】情绪-30"
偷偷修改成绩单,💯,1,哥哥 或 妹妹,10,50,80,5,"【儿女】压力-20,【全家】希望+5","【全家】压力+35,【全家】融洽-20"
妹妹日记本危机,📖,2,哥哥 且 妹妹,12,30,60,6,"【兄妹】情绪+15,【全家】融洽+10","【全家】融洽-20,【妹妹】情绪-25"
外卖送错引发饥饿,🛵,2,任意2人,15,65,95,7,"【全家】融洽+10,压力-5","【全家】压力+20,【全家】情绪-15"
猫咪抓坏沙发,🐱,2,哥哥 且 妹妹,10,10,35,4,"【全家】融洽+10,压力-5","【全家】压力+15,【父母】情绪-15"
空调突然漏水,💨,1,爸爸 或 哥哥,14,70,100,9,"【全家】压力-15,【融洽】+5","【全家】压力+25,【全家】情绪-10"
突然停电乌黑一片,🔌,4,全家 必须全部参加,20,80,115,10,"【全家】融洽+25,【全家】压力-10","【全家】压力+20,【全家】情绪-15"
网速突然卡死,🌐,1,哥哥 或 妹妹,8,40,70,4,"【儿女】情绪+10,【全家】压力-5","【全家】压力+10,【儿女】情绪-15"
错失限量版球鞋/潮玩,👟,1,哥哥 必须参加,10,20,50,5,"【哥哥】情绪+20,希望+5","【哥哥】情绪-25,压力+5"
垃圾分类扔错被罚,🗑️,1,任意1人,12,15,45,6,"【全家】融洽+5,压力-5","【全家】压力+15,希望-5"
妈妈的唠叨爆发,🗣️,3,除了妈妈的任意3人,15,50,90,12,"【全家】压力-25,【妈妈】情绪+20","【全家】压力+35,【全家】融洽-15"
