標題,視點主角,內文,選擇1內文,選擇1效果,選擇1故事內文,選擇2內文,選擇2效果,選擇2故事內文,選擇3內文,選擇3效果,選擇3故事內文
弟弟哭泣考試在即,弟弟,我坐在地上哭，哥哥明天要考試，爸媽都在忙，我好想要人陪。,要爸爸來哄我,和諧+ 情緒+ 希望-,爸爸放下工作抱起我，我破涕為笑，但他半夜還在加班。,媽媽來哄我,和諧+ 情緒- 希望0,媽媽溫柔拍拍我，我不哭了，但她累得腰都直不起來。,哥哥戴耳機不理我,和諧- 情緒- 希望+,哥哥繼續讀書，我哭更大聲，全家氣氛變得好緊繃。
媽媽做的菜難吃,媽媽,我端上新菜，自己嚐了一口發現味道不對，但花了一下午，我好希望大家喜歡。,爸爸開心吃完誇我,和諧+ 情緒+ 希望-,爸爸大口吃完還說好吃，我超開心，但他其實喝了好多水。,孩子說「我吃飽了」,和諧- 情緒- 希望0,孩子放下筷子說吃飽了，我愣住，餐桌瞬間好安靜。,我自己倒掉重做,和諧+ 情緒- 希望-,我默默端回廚房重做，大家等了半小時，新菜終於能吃了。
繼承生意或追夢,爸爸,我希望兒子接手店鋪，但他有自己的夢想，我不知該支持還是堅持。,我支持他追夢,希望+ 情緒+ 和諧-,我拍著兒子的肩說「去吧」，他眼眶紅了，但我轉身時嘆了口氣。,我要求他先試一年,和諧+ 情緒- 希望-,我要求他試一年，他勉強答應，但眼神裡沒有光。,兒子提出折中方案,和諧+ 希望+ 情緒-,他說邊做邊學，全家都鬆口氣，但我看得出他壓力很大。
郊遊 vs 朋友比賽,姐姐,我約了朋友比賽，但全家計劃郊遊，我左右為難。,我推掉比賽陪家人,和諧+ 情緒+ 希望-,我打電話跟朋友道歉，爸媽很開心，但整路我都沒什麼精神。,爸爸支持我去比賽,情緒+ 和諧- 希望0,爸爸說「去吧」，我衝去比賽，但回家時媽媽表情不太對。,媽媽提議上午比賽下午郊遊,和諧+ 希望+ 情緒-,媽媽想出折中，我們趕場趕得好累，但至少都沒錯過。
奶奶住院與畢業設計,媽媽,婆婆住院，孩子畢業設計緊張，我和丈夫都累垮了。,我白天陪護晚上幫孩子,和諧+ 情緒+ 希望-,我兩頭跑，晚上還幫孩子改論文，結果自己累到感冒。,我專心陪護讓孩子自己應對,和諧+ 希望- 情緒0,我專心照顧婆婆，孩子自己熬夜趕論文，兩個人都很憔悴。,我求助其他親戚,希望+ 和諧- 情緒0,我請堂妹幫忙分擔，大家壓力輕一些，但婆婆說還是習慣我照顧。
妹妹弄壞心愛之物,姐姐,我的限量玩具被妹妹摔壞，我氣到發抖。,我嚴厲罵妹妹,希望+ 和諧- 情緒-,我大罵妹妹，她大哭，爸媽跑來調解，全家亂成一團。,媽媽安撫我並說會修好,和諧+ 情緒+ 希望-,媽媽抱住我說會想辦法，我氣消了，但玩具真的修不回來。,爸爸各打五十大板,和諧- 情緒- 希望0,爸爸說我們都有錯，我和妹妹都不服，冷戰了一整天。
爸爸生日 vs 換手機,爸爸,我生日快到了，孩子好像有心事，我猜不透。,我暗示孩子不用買禮物,和諧+ 情緒- 希望0,我說「不用買」，孩子愣了一下，但我知道他手頭緊。,我直接說想要新工具,希望+ 和諧- 情緒0,我說想要一套新扳手，孩子點點頭，但表情有點為難。,我假裝不在意,和諧- 情緒- 希望0,我笑笑說「隨便」，孩子鬆口氣，但我心裡有點失落。
搶電視：球賽 vs 劇,爸爸,我剛打開球賽，妻子就拿遙控器換到連續劇。,我讓給她,和諧+ 情緒+ 希望-,我把遙控器遞給妻子，自己回房用手機看，她開心追劇。,我搶回遙控器,希望+ 和諧- 情緒0,我搶回來看球，妻子不高興，轉身去廚房。,我提議回看功能,和諧+ 希望+ 情緒-,我提議先看劇再看球賽回放，她答應了，但我們看到很晚。
發現哥哥抽煙,弟弟,我撞見哥哥在陽台抽煙，他求我保密，我好猶豫。,爸爸當面訓斥哥哥,希望+ 和諧- 情緒-,爸爸大罵哥哥，哥哥低頭不語，媽媽在旁邊一直嘆氣。,爸爸私下找哥哥談心,和諧+ 希望+ 情緒-,爸爸把哥哥叫去陽台，兩人談了很久，哥哥說他會戒。,媽媽悄悄把煙收走,和諧+ 情緒- 希望0,媽媽趁哥哥睡覺時收走香煙，哥哥醒來後臉色好難看。
媽媽安排相親,媽媽,我幫孩子安排了相親，但孩子完全不想去。,我直接取消見面,情緒+ 和諧- 希望0,我打電話取消，孩子鬆口氣，但我嘆氣的聲音好大。,我強制孩子去,和諧+ 情緒- 希望-,我堅持要他去，他勉強去了，但回來後一整天不說話。,我讓孩子自己決定,希望+ 和諧- 情緒0,我說「你自己選吧」，孩子愣住，然後說「我不去」。
